M,K,N,shape_str,overlap_ratio,prefetch_ratio,ratio_str,avg_gflops,peak_gflops,avg_time_ms,std_time_ms,flops,cv,efficiency,matrix_volume
1024,1024,1024,1024x1024x1024,0.25,0.75,"o=0.25, p=0.75",121986.54344340047,125672.03193865817,0.01760426672796408,0.00047884188484967707,2147483648,2.7200331161140885,12198.654344340046,1073741824
1024,1024,1024,1024x1024x1024,0.75,0.25,"o=0.75, p=0.25",122127.140389711,125437.12915538475,0.01758400009324153,0.0005456132336657145,2147483648,3.102895989379702,12212.7140389711,1073741824
1024,1024,1024,1024x1024x1024,0.5,0.25,"o=0.5, p=0.25",122790.06680296692,125672.03193865817,0.017489066533744334,0.0003987167295937619,2147483648,2.2798056650105174,12279.006680296692,1073741824
1024,1024,1024,1024x1024x1024,0.25,0.5,"o=0.25, p=0.5",121949.59898505572,125907.81616500474,0.017609599915643533,0.00048713980367299543,2147483648,2.766330899092395,12194.959898505573,1073741824
1024,1024,1024,1024x1024x1024,0.5,0.75,"o=0.5, p=0.75",121084.13668111632,126382.03501282123,0.01773546648522218,0.0008371402057361607,2147483648,4.720147656864259,12108.413668111632,1073741824
1024,1024,1024,1024x1024x1024,0.75,0.5,"o=0.75, p=0.5",122260.636711019,125203.10288169695,0.017564800133307776,0.0005047723234370891,2147483648,2.8737720873914157,12226.0636711019,1073741824
1024,1024,1024,1024x1024x1024,0.1,0.1,"o=0.1, p=0.1",128086.64707743998,134217.72162500033,0.01676586667696635,0.0005542521071358143,2147483648,3.3058363030959153,12808.664707743997,1073741824
1024,1024,1024,1024x1024x1024,0.9,0.9,"o=0.9, p=0.9",122610.5928308701,125672.03193865817,0.01751466654241085,0.0004546052338638186,2147483648,2.59556887802012,12261.05928308701,1073741824
1024,1024,1024,1024x1024x1024,0.33,0.67,"o=0.33, p=0.67",122910.00699140603,127341.29875616159,0.017472000047564506,0.0003907844657184029,2147483648,2.236632696054027,12291.000699140604,1073741824
1024,1024,1024,1024x1024x1024,0.67,0.33,"o=0.67, p=0.33",122662.88513295368,125907.81616500474,0.017507199880977473,0.000395416970273717,2147483648,2.2585963087298677,12266.288513295369,1073741824
1024,1024,1024,1024x1024x1024,0.4,0.6,"o=0.4, p=0.6",122320.06357640773,126382.03501282123,0.01755626661082109,0.00037668445224616566,2147483648,2.145584027608638,12232.006357640774,1073741824
